######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20250224|81043|19830613|20250223|+1000
apnic|PH|asn|6163|1|20160718|allocated
apnic|AU|asn|6262|1|20020801|allocated
apnic|KR|asn|6619|1|20020801|allocated
apnic|PH|asn|6648|1|20020801|allocated
apnic|MP|asn|7131|1|20020801|allocated
apnic|AU|asn|7175|1|20020801|allocated
apnic|SG|asn|7387|1|19961127|allocated
apnic|AU|asn|7467|1|20020923|allocated
apnic|HK|asn|7468|1|19970106|allocated
apnic|TH|asn|7470|1|19970107|allocated
apnic|AU|asn|7471|1|20040123|allocated
apnic|SG|asn|7472|1|19970120|allocated
apnic|SG|asn|7473|1|19970122|allocated
apnic|AU|asn|7474|1|19970203|allocated
apnic|AU|asn|7475|2|19970211|allocated
apnic|AU|asn|7477|1|19970211|allocated
apnic|TW|asn|7478|1|19970212|allocated
apnic|HK|asn|7479|1|19970220|allocated
apnic|TW|asn|7481|3|19970217|allocated
apnic|HK|asn|7484|1|19970225|allocated
apnic|TH|asn|7485|1|19970226|allocated
apnic|AU|asn|7486|1|19970227|allocated
apnic|IN|asn|7487|1|20070504|allocated
apnic|US|asn|7488|1|20230728|allocated
apnic|HK|asn|7489|1|20151223|allocated
apnic|AU|asn|7490|1|20160715|allocated
apnic|PH|asn|7491|1|19970312|allocated
apnic|AU|asn|7492|1|20181224|allocated
apnic|HK|asn|7493|1|19970318|allocated
apnic|IN|asn|7494|1|20230921|allocated
apnic|PH|asn|7495|1|19970324|allocated
apnic|AU|asn|7496|1|19970325|allocated
apnic|CN|asn|7497|1|19970408|allocated
apnic|AU|asn|7498|1|19970410|allocated
apnic|HK|asn|7499|1|19970411|allocated
apnic|JP|asn|7500|32|19970303|allocated
apnic|TW|asn|7532|8|19970322|allocated
apnic|HK|asn|7540|1|19970414|allocated
apnic|TW|asn|7541|1|19970417|allocated
apnic|AU|asn|7542|1|19970422|allocated
apnic|JP|asn|7543|1|19970422|allocated
apnic|PH|asn|7544|1|20090813|allocated
apnic|AU|asn|7545|1|19970425|allocated
apnic|AU|asn|7546|1|20070727|allocated
apnic|CN|asn|7547|2|19970502|allocated
apnic|CN|asn|7549|1|19970506|allocated
apnic|AU|asn|7550|1|20021004|allocated
apnic|AU|asn|7551|1|20090402|allocated
apnic|VN|asn|7552|1|20021008|allocated
apnic|AU|asn|7553|1|20021008|allocated
apnic|AU|asn|7554|1|20021009|allocated
apnic|AU|asn|7555|1|19970509|allocated
apnic|AU|asn|7556|1|19970509|allocated
apnic|KR|asn|7557|8|19970513|allocated
apnic|BD|asn|7565|1|20080501|allocated
apnic|AU|asn|7566|1|20161018|allocated
apnic|AU|asn|7567|1|19970521|allocated
apnic|TH|asn|7568|1|19970523|allocated
apnic|AU|asn|7569|7|19970528|allocated
apnic|CN|asn|7576|1|19970529|allocated
apnic|HK|asn|7577|1|19970604|allocated
apnic|AU|asn|7578|1|20070810|allocated
apnic|AU|asn|7579|2|19970604|allocated
apnic|HK|asn|7581|1|19970609|allocated
apnic|MO|asn|7582|1|20050411|allocated
apnic|AU|asn|7583|1|20070802|allocated
apnic|NZ|asn|7584|1|20060922|allocated
apnic|AU|asn|7585|1|20050616|allocated
apnic|CN|asn|7586|1|20211128|allocated
apnic|ID|asn|7587|1|19970701|allocated
apnic|TH|asn|7588|1|19970701|allocated
apnic|SE|asn|7589|1|19970701|allocated
apnic|PK|asn|7590|1|19970701|allocated
apnic|AU|asn|7591|2|19970708|allocated
apnic|IN|asn|7593|1|20160721|allocated
apnic|AU|asn|7594|1|20061129|allocated
apnic|SG|asn|7595|1|20070803|allocated
apnic|TH|asn|7596|1|19970716|allocated
apnic|ID|asn|7597|1|19970717|allocated
apnic|AU|asn|7598|1|20070315|allocated
apnic|NZ|asn|7599|1|20070903|allocated
apnic|AU|asn|7600|2|19970806|allocated
apnic|VN|asn|7602|1|20030828|allocated
apnic|JP|asn|7603|1|20211202|allocated
apnic|AU|asn|7604|1|19970811|allocated
apnic|PK|asn|7605|1|20211213|allocated
apnic|AU|asn|7606|1|19970819|allocated
apnic|SG|asn|7607|1|20241125|allocated
apnic|AU|asn|7608|1|19970819|allocated
apnic|CN|asn|7609|1|20211223|allocated
apnic|SG|asn|7610|1|19970821|allocated
apnic|PH|asn|7611|1|20031104|allocated
apnic|AU|asn|7612|1|19970826|allocated
apnic|TH|asn|7613|1|20060125|allocated
apnic|HK|asn|7614|1|19970829|allocated
apnic|BT|asn|7615|1|20180904|allocated
apnic|TH|asn|7616|1|19970903|allocated
apnic|HK|asn|7617|1|20041119|allocated
apnic|TW|asn|7618|1|19970905|allocated
apnic|KR|asn|7620|8|19970911|allocated
apnic|AU|asn|7628|1|20160418|allocated
apnic|PH|asn|7629|1|19970924|allocated
apnic|TH|asn|7630|1|19970924|allocated
apnic|AU|asn|7631|1|20100513|allocated
apnic|ID|asn|7632|1|20011204|allocated
apnic|IN|asn|7633|1|19970926|allocated
apnic|SG|asn|7634|1|19970929|allocated
apnic|AU|asn|7635|1|20160505|allocated
apnic|TH|asn|7636|1|19971002|allocated
apnic|AU|asn|7637|1|19971002|allocated
apnic|CN|asn|7638|4|19971008|allocated
apnic|MV|asn|7642|1|19971013|allocated
apnic|VN|asn|7643|1|19971014|allocated
apnic|AU|asn|7644|1|19971020|allocated
apnic|AU|asn|7645|1|19971020|allocated
apnic|HK|asn|7646|1|19971023|allocated
apnic|AU|asn|7647|1|19971104|allocated
apnic|AU|asn|7648|1|19971105|allocated
apnic|TW|asn|7649|1|19971110|allocated
apnic|HK|asn|7650|2|19971110|allocated
apnic|AU|asn|7652|1|19971110|allocated
apnic|CN|asn|7653|1|20211223|allocated
apnic|TH|asn|7654|1|19971110|allocated
apnic|TW|asn|7655|2|19971110|allocated
apnic|NZ|asn|7657|1|19971111|allocated
apnic|SG|asn|7658|1|19971112|allocated
apnic|HK|asn|7659|1|19971128|allocated
apnic|JP|asn|7660|32|19971113|allocated
apnic|CN|asn|7692|1|19971202|allocated
apnic|TH|asn|7693|1|19971202|allocated
apnic|AU|asn|7694|1|19971202|allocated
apnic|HK|asn|7695|1|20060418|allocated
apnic|NZ|asn|7696|1|20050902|allocated
apnic|AU|asn|7697|1|19971206|allocated
apnic|AU|asn|7698|1|19971211|allocated
apnic|SG|asn|7700|1|20031015|allocated
apnic|AU|asn|7701|4|19971222|allocated
apnic|HK|asn|7705|1|19971222|allocated
apnic|AU|asn|7706|1|19971224|allocated
apnic|PH|asn|7707|1|19971230|allocated
apnic|TW|asn|7708|4|19971226|allocated
apnic|KH|asn|7712|1|20070906|allocated
apnic|ID|asn|7713|1|19980106|allocated
apnic|NZ|asn|7714|1|19980106|allocated
apnic|TH|asn|7715|1|19980107|allocated
apnic|AU|asn|7716|1|19980107|allocated
apnic|ID|asn|7717|1|20050907|allocated
apnic|AU|asn|7718|1|20040401|allocated
apnic|US|asn|7719|1|20230402|allocated
apnic|US|asn|7720|1|20220110|allocated
apnic|CN|asn|7721|1|20220112|allocated
apnic|AU|asn|7722|1|19980116|allocated
apnic|MU|asn|7855|1|20020801|allocated
apnic|NZ|asn|7901|1|20020801|allocated
apnic|TW|asn|9216|1|20000505|allocated
apnic|US|asn|9217|1|20000508|allocated
apnic|WS|asn|9218|1|20120618|allocated
apnic|AU|asn|9219|1|20000807|allocated
apnic|US|asn|9220|1|20000508|allocated
apnic|HK|asn|9221|1|20000508|allocated
apnic|JP|asn|9222|1|20000510|allocated
apnic|IN|asn|9223|1|20090904|allocated
apnic|AU|asn|9224|1|20051102|allocated
apnic|HK|asn|9225|1|20000510|allocated
apnic|SG|asn|9226|1|20000511|allocated
apnic|IN|asn|9227|1|20090814|allocated
apnic|ID|asn|9228|1|20000515|allocated
apnic|HK|asn|9229|1|20000515|allocated
apnic|BD|asn|9230|1|20000517|allocated
apnic|HK|asn|9231|1|20000518|allocated
apnic|HK|asn|9232|1|20220614|allocated
apnic|NZ|asn|9233|1|20000519|allocated
apnic|SG|asn|9234|1|20110706|allocated
apnic|ID|asn|9235|1|20241223|allocated
apnic|NZ|asn|9236|1|20060119|allocated
